Delta, Rate, Expect, Margin
19, 49.48%, 113.82%, 0.73%
20, 50.19%, 113.99%, 0.70%
21, 50.30%, 114.28%, 0.68%
22, 51.84%, 114.18%, 0.64%
23, 51.78%, 114.58%, 0.63%
24, 51.67%, 114.97%, 0.62%
25, 51.51%, 115.25%, 0.61%
26, 50.90%, 115.60%, 0.60%
27, 50.58%, 115.89%, 0.59%
28, 49.86%, 116.20%, 0.58%
29, 49.37%, 116.47%, 0.57%
Stock SH600380
1, 48.44%, 101.90%, 1.90%
2, 47.84%, 102.86%, 1.43%
3, 48.91%, 103.47%, 1.16%
4, 48.12%, 104.11%, 1.03%
5, 48.77%, 104.55%, 0.91%
6, 48.02%, 104.97%, 0.83%
7, 47.46%, 105.35%, 0.76%
8, 45.88%, 105.88%, 0.73%
9, 45.81%, 106.24%, 0.69%
10, 45.74%, 106.59%, 0.66%
11, 44.83%, 106.97%, 0.63%
12, 43.96%, 107.37%, 0.61%
13, 43.94%, 107.69%, 0.59%
14, 44.54%, 107.96%, 0.57%
15, 43.80%, 108.51%, 0.57%
16, 44.40%, 108.73%, 0.55%
17, 45.24%, 108.93%, 0.53%
18, 45.38%, 109.32%, 0.52%
19, 45.12%, 109.88%, 0.52%
20, 44.63%, 110.53%, 0.53%
21, 44.75%, 110.94%, 0.52%
22, 44.28%, 111.43%, 0.52%
23, 44.42%, 111.76%, 0.51%
24, 44.56%, 112.06%, 0.50%
25, 44.61%, 112.39%, 0.50%
26, 44.42%, 112.65%, 0.49%
27, 44.09%, 113.03%, 0.48%
28, 44.51%, 113.27%, 0.47%
29, 44.00%, 113.82%, 0.48%
Stock SH600381
1, 47.53%, 102.22%, 2.22%
2, 47.28%, 104.12%, 2.06%
3, 46.82%, 105.05%, 1.68%
4, 47.73%, 105.75%, 1.44%
5, 48.13%, 106.38%, 1.28%
6, 49.14%, 106.80%, 1.13%
7, 48.39%, 107.31%, 1.04%
8, 47.02%, 107.97%, 1.00%
9, 46.17%, 108.55%, 0.95%
10, 45.81%, 109.00%, 0.90%
11, 44.95%, 110.35%, 0.94%
12, 45.16%, 111.38%, 0.95%
13, 44.70%, 112.64%, 0.97%
14, 44.10%, 114.17%, 1.01%
15, 44.25%, 115.70%, 1.05%
16, 44.35%, 117.32%, 1.08%
17, 44.80%, 118.84%, 1.11%
18, 44.70%, 120.53%, 1.14%
19, 45.16%, 121.23%, 1.12%
20, 45.61%, 121.83%, 1.09%
21, 44.90%, 122.91%, 1.09%
22, 45.21%, 123.31%, 1.06%
23, 44.70%, 123.91%, 1.04%
24, 43.90%, 125.38%, 1.06%
25, 44.02%, 126.16%, 1.05%
26, 43.74%, 126.50%, 1.02%
27, 43.66%, 126.66%, 0.99%
28, 43.78%, 126.79%, 0.96%
29, 43.75%, 126.99%, 0.93%
Stock SH600382
1, 49.68%, 101.86%, 1.86%
2, 49.45%, 102.81%, 1.41%
3, 50.25%, 103.38%, 1.13%
4, 50.83%, 103.90%, 0.98%
5, 49.56%, 104.51%, 0.90%
6, 49.68%, 104.87%, 0.81%
7, 48.18%, 105.43%, 0.78%
8, 47.58%, 105.92%, 0.74%
9, 48.41%, 106.15%, 0.68%
10, 47.58%, 106.63%, 0.66%
11, 48.09%, 106.88%, 0.63%
12, 47.16%, 107.40%, 0.62%
13, 47.30%, 107.76%, 0.60%
14, 46.93%, 108.26%, 0.59%
15, 47.21%, 108.64%, 0.58%
16, 47.21%, 109.00%, 0.56%
17, 47.58%, 109.26%, 0.54%
18, 48.09%, 109.56%, 0.53%
19, 47.95%, 110.07%, 0.53%
20, 48.18%, 110.43%, 0.52%
21, 47.49%, 110.93%, 0.52%
22, 47.40%, 111.25%, 0.51%
23, 47.95%, 111.37%, 0.49%
24, 47.86%, 111.62%, 0.48%
25, 48.09%, 111.78%, 0.47%
26, 47.95%, 112.00%, 0.46%
27, 47.76%, 112.37%, 0.46%
28, 47.16%, 112.83%, 0.46%
29, 47.03%, 113.17%, 0.45%
Stock SH600383
1, 46.83%, 102.06%, 2.06%
2, 48.24%, 103.12%, 1.56%
3, 48.81%, 103.91%, 1.30%
4, 49.01%, 104.57%, 1.14%
5, 48.85%, 105.25%, 1.05%
6, 49.71%, 105.74%, 0.96%
7, 49.35%, 106.30%, 0.90%
8, 49.98%, 106.73%, 0.84%
9, 49.75%, 107.14%, 0.79%
10, 48.89%, 107.76%, 0.78%
11, 49.39%, 108.13%, 0.74%
12, 49.39%, 108.48%, 0.71%
13, 49.39%, 108.81%, 0.68%
14, 47.92%, 109.39%, 0.67%
15, 47.36%, 109.76%, 0.65%
16, 48.10%, 109.82%, 0.61%
17, 47.54%, 110.16%, 0.60%
18, 46.93%, 110.47%, 0.58%
19, 45.77%, 110.94%, 0.58%
20, 45.75%, 111.24%, 0.56%
21, 46.40%, 111.36%, 0.54%
22, 46.06%, 111.77%, 0.54%
23, 46.51%, 111.94%, 0.52%
24, 46.01%, 112.31%, 0.51%
25, 45.92%, 112.59%, 0.50%
26, 45.65%, 112.96%, 0.50%
27, 45.56%, 113.25%, 0.49%
28, 46.01%, 113.37%, 0.48%
29, 46.20%, 113.62%, 0.47%
Stock SH600385
1, 47.84%, 102.12%, 2.12%
2, 47.20%, 103.25%, 1.62%
3, 47.62%, 103.96%, 1.32%
4, 46.15%, 104.78%, 1.19%
5, 46.75%, 105.26%, 1.05%
6, 45.98%, 105.81%, 0.97%
7, 45.56%, 106.38%, 0.91%
8, 44.98%, 106.92%, 0.87%
9, 44.40%, 107.39%, 0.82%
10, 44.56%, 107.87%, 0.79%
11, 45.03%, 108.30%, 0.75%
12, 44.82%, 108.72%, 0.73%
13, 44.45%, 109.15%, 0.70%
14, 44.24%, 109.61%, 0.69%
15, 44.16%, 110.11%, 0.67%
16, 43.49%, 110.78%, 0.67%
17, 44.15%, 111.22%, 0.66%
18, 44.86%, 111.72%, 0.65%
19, 45.15%, 112.29%, 0.65%
20, 45.23%, 112.89%, 0.64%
21, 45.33%, 113.41%, 0.64%
22, 46.77%, 113.47%, 0.61%
23, 47.14%, 113.77%, 0.60%
24, 46.82%, 114.15%, 0.59%
25, 46.55%, 114.71%, 0.59%
26, 47.03%, 115.03%, 0.58%
27, 46.71%, 115.39%, 0.57%
28, 46.92%, 115.43%, 0.55%
29, 45.92%, 115.89%, 0.55%
Stock SH600386
1, 48.03%, 101.86%, 1.86%
2, 47.40%, 102.85%, 1.42%
3, 48.65%, 103.54%, 1.18%
4, 48.34%, 104.18%, 1.04%
5, 48.03%, 104.81%, 0.96%
6, 48.21%, 105.35%, 0.89%
7, 47.91%, 105.97%, 0.85%
8, 47.76%, 106.51%, 0.81%
9, 47.28%, 107.01%, 0.78%
10, 46.95%, 107.37%, 0.74%
11, 45.93%, 107.85%, 0.71%
12, 45.32%, 108.27%, 0.69%
13, 45.70%, 108.39%, 0.65%
14, 45.99%, 108.59%, 0.61%
15, 46.38%, 108.69%, 0.58%
16, 46.71%, 108.84%, 0.55%
17, 46.76%, 109.14%, 0.54%
18, 46.58%, 109.56%, 0.53%
19, 46.51%, 109.88%, 0.52%
20, 46.35%, 110.18%, 0.51%
21, 46.41%, 110.50%, 0.50%
22, 46.39%, 110.89%, 0.49%
23, 46.41%, 111.30%, 0.49%
24, 45.71%, 111.85%, 0.49%
25, 46.48%, 112.02%, 0.48%
26, 46.57%, 112.29%, 0.47%
27, 46.21%, 112.64%, 0.47%
28, 45.89%, 112.94%, 0.46%
29, 46.57%, 112.87%, 0.44%
Stock SH600387
1, 51.44%, 102.09%, 2.09%
2, 50.35%, 103.25%, 1.63%
3, 51.10%, 103.90%, 1.30%
4, 50.98%, 104.44%, 1.11%
5, 50.58%, 104.90%, 0.98%
6, 49.54%, 105.44%, 0.91%
7, 49.60%, 105.76%, 0.82%
8, 48.41%, 106.18%, 0.77%
9, 47.69%, 106.60%, 0.73%
10, 46.68%, 107.14%, 0.71%
11, 45.87%, 107.62%, 0.69%
12, 46.62%, 107.91%, 0.66%
13, 46.79%, 108.42%, 0.65%
14, 47.20%, 108.96%, 0.64%
15, 47.60%, 109.55%, 0.64%
16, 48.30%, 110.00%, 0.63%
17, 47.95%, 110.59%, 0.62%
18, 48.01%, 110.89%, 0.60%
19, 47.72%, 111.26%, 0.59%
20, 48.06%, 111.54%, 0.58%
21, 49.34%, 111.64%, 0.55%
22, 49.57%, 111.99%, 0.54%
23, 50.72%, 112.08%, 0.53%
24, 50.78%, 112.43%, 0.52%
25, 51.53%, 112.55%, 0.50%
26, 51.01%, 112.83%, 0.49%
27, 51.07%, 113.07%, 0.48%
28, 51.01%, 113.29%, 0.47%
29, 51.24%, 113.48%, 0.46%
Stock SH600388
1, 50.69%, 101.81%, 1.81%
2, 49.68%, 102.89%, 1.45%
3, 52.12%, 103.47%, 1.16%
4, 50.97%, 104.07%, 1.02%
5, 51.04%, 104.55%, 0.91%
6, 50.60%, 104.93%, 0.82%
7, 49.47%, 105.33%, 0.76%
8, 49.86%, 105.54%, 0.69%
9, 49.56%, 105.94%, 0.66%
10, 48.80%, 106.45%, 0.65%
11, 48.91%, 106.83%, 0.62%
12, 49.31%, 107.17%, 0.60%
13, 48.82%, 107.57%, 0.58%
14, 49.28%, 107.82%, 0.56%
15, 49.93%, 108.04%, 0.54%
16, 50.16%, 108.35%, 0.52%
17, 49.93%, 108.65%, 0.51%
18, 49.70%, 108.96%, 0.50%
19, 49.56%, 109.26%, 0.49%
20, 49.14%, 109.59%, 0.48%
21, 49.47%, 109.76%, 0.46%
22, 49.70%, 109.92%, 0.45%
23, 50.39%, 110.07%, 0.44%
24, 51.18%, 110.27%, 0.43%
25, 51.09%, 110.60%, 0.42%
26, 51.18%, 110.83%, 0.42%
27, 50.86%, 111.12%, 0.41%
28, 51.37%, 111.31%, 0.40%
29, 51.13%, 111.60%, 0.40%
Stock SH600389
1, 50.39%, 101.99%, 1.99%
2, 52.03%, 103.04%, 1.52%
3, 52.91%, 103.77%, 1.26%
4, 53.20%, 104.39%, 1.10%
5, 52.81%, 104.99%, 1.00%
6, 52.37%, 105.52%, 0.92%
7, 51.79%, 106.09%, 0.87%
8, 50.15%, 106.67%, 0.83%
9, 50.12%, 107.00%, 0.78%
10, 48.88%, 107.44%, 0.74%
11, 48.57%, 107.66%, 0.70%
12, 49.08%, 107.90%, 0.66%
13, 49.59%, 108.27%, 0.64%
14, 49.51%, 108.73%, 0.62%
15, 49.13%, 109.25%, 0.62%
16, 49.03%, 109.69%, 0.61%
17, 49.42%, 110.01%, 0.59%
18, 49.85%, 110.27%, 0.57%
19, 49.42%, 110.80%, 0.57%
20, 50.15%, 111.15%, 0.56%
21, 50.39%, 111.46%, 0.55%
22, 50.63%, 111.77%, 0.53%
23, 51.17%, 112.01%, 0.52%
24, 51.36%, 112.27%, 0.51%
25, 51.90%, 112.49%, 0.50%
26, 51.70%, 112.79%, 0.49%
27, 52.04%, 112.97%, 0.48%
28, 52.28%, 113.10%, 0.47%
29, 52.11%, 113.28%, 0.46%
Stock SH600390
1, 50.71%, 102.05%, 2.05%
2, 50.44%, 103.16%, 1.58%
3, 50.62%, 103.99%, 1.33%
4, 51.28%, 104.60%, 1.15%
5, 50.39%, 105.14%, 1.03%
6, 49.66%, 105.64%, 0.94%
7, 48.78%, 106.03%, 0.86%
8, 48.10%, 106.32%, 0.79%
9, 47.18%, 106.69%, 0.74%
10, 46.31%, 107.17%, 0.72%
11, 45.39%, 107.64%, 0.69%
12, 45.30%, 108.05%, 0.67%
13, 44.61%, 108.59%, 0.66%
14, 44.24%, 109.14%, 0.65%
15, 43.57%, 109.78%, 0.65%
16, 44.56%, 110.07%, 0.63%
17, 44.90%, 110.60%, 0.62%
18, 45.50%, 110.97%, 0.61%
19, 46.14%, 111.20%, 0.59%
20, 45.86%, 111.66%, 0.58%
21, 46.09%, 111.95%, 0.57%
22, 45.56%, 112.41%, 0.56%
23, 45.43%, 112.74%, 0.55%
24, 45.66%, 112.92%, 0.54%
25, 44.69%, 113.45%, 0.54%
26, 43.86%, 114.01%, 0.54%
27, 44.18%, 114.26%, 0.53%
28, 44.09%, 114.70%, 0.52%
29, 43.13%, 115.46%, 0.53%
Stock SH600391
1, 50.50%, 102.15%, 2.15%
2, 50.02%, 103.34%, 1.67%
3, 50.88%, 104.19%, 1.40%
4, 50.45%, 104.95%, 1.24%
5, 49.17%, 105.70%, 1.14%
6, 48.45%, 106.28%, 1.05%
7, 47.52%, 106.79%, 0.97%
8, 47.12%, 107.29%, 0.91%
9, 47.26%, 107.69%, 0.85%
10, 46.16%, 108.32%, 0.83%
11, 45.83%, 108.86%, 0.81%
12, 46.26%, 109.35%, 0.78%
13, 46.02%, 109.96%, 0.77%
14, 46.31%, 110.43%, 0.75%
15, 46.69%, 110.80%, 0.72%
16, 46.31%, 111.33%, 0.71%
17, 46.88%, 111.55%, 0.68%
18, 47.17%, 111.92%, 0.66%
19, 47.69%, 112.27%, 0.65%
20, 47.36%, 112.79%, 0.64%
21, 46.31%, 113.38%, 0.64%
22, 46.55%, 113.56%, 0.62%
23, 45.88%, 114.11%, 0.61%
24, 46.16%, 114.41%, 0.60%
25, 46.12%, 114.81%, 0.59%
26, 46.40%, 115.01%, 0.58%
27, 46.26%, 115.36%, 0.57%
28, 46.31%, 115.61%, 0.56%
29, 46.83%, 115.72%, 0.54%
Stock SH600392
1, 50.19%, 102.24%, 2.24%
2, 48.87%, 103.47%, 1.74%
3, 49.44%, 104.41%, 1.47%
4, 49.89%, 105.23%, 1.31%
5, 48.90%, 106.05%, 1.21%
6, 48.60%, 106.73%, 1.12%
7, 48.95%, 107.29%, 1.04%
8, 47.41%, 108.02%, 1.00%
9, 47.06%, 108.40%, 0.93%
10, 46.87%, 108.79%, 0.88%
11, 45.76%, 109.43%, 0.86%
12, 45.66%, 109.99%, 0.83%
13, 45.60%, 110.45%, 0.80%
14, 45.76%, 110.97%, 0.78%
15, 46.14%, 111.52%, 0.77%
16, 46.30%, 112.21%, 0.76%
17, 46.52%, 112.88%, 0.76%
18, 46.74%, 113.55%, 0.75%
19, 46.41%, 114.24%, 0.75%
20, 46.47%, 114.77%, 0.74%
21, 46.36%, 115.45%, 0.74%
22, 45.49%, 116.32%, 0.74%
23, 44.82%, 117.11%, 0.74%
24, 44.73%, 117.65%, 0.74%
25, 45.14%, 117.94%, 0.72%
26, 45.65%, 118.22%, 0.70%
27, 45.16%, 118.95%, 0.70%
28, 45.97%, 119.12%, 0.68%
29, 46.73%, 119.28%, 0.66%
Stock SH600393
1, 48.60%, 102.14%, 2.14%
2, 48.43%, 103.25%, 1.62%
3, 49.18%, 103.98%, 1.33%
4, 49.73%, 104.57%, 1.14%
5, 49.64%, 105.11%, 1.02%
6, 49.01%, 105.59%, 0.93%
7, 49.16%, 105.93%, 0.85%
8, 48.63%, 106.40%, 0.80%
9, 47.76%, 107.06%, 0.78%
10, 48.29%, 107.54%, 0.75%
11, 47.90%, 108.12%, 0.74%
12, 47.47%, 108.71%, 0.73%
13, 47.52%, 109.18%, 0.71%
14, 48.02%, 109.55%, 0.68%
15, 47.95%, 109.88%, 0.66%
16, 47.58%, 110.21%, 0.64%
17, 47.39%, 110.47%, 0.62%
18, 47.73%, 110.71%, 0.59%
19, 47.97%, 110.99%, 0.58%
20, 48.94%, 111.11%, 0.56%
21, 48.02%, 111.65%, 0.55%
22, 48.36%, 111.85%, 0.54%
23, 47.25%, 112.38%, 0.54%
24, 48.02%, 112.43%, 0.52%
25, 48.89%, 112.47%, 0.50%
26, 48.26%, 112.84%, 0.49%
27, 47.83%, 113.07%, 0.48%
28, 47.39%, 113.30%, 0.48%
29, 47.00%, 113.51%, 0.47%
Stock SH600395
1, 49.21%, 101.98%, 1.98%
2, 49.88%, 102.92%, 1.46%
3, 50.60%, 103.67%, 1.22%
4, 50.88%, 104.35%, 1.09%
5, 50.50%, 104.95%, 0.99%
6, 50.36%, 105.52%, 0.92%
7, 50.02%, 105.94%, 0.85%
8, 48.59%, 106.53%, 0.82%
9, 47.88%, 107.13%, 0.79%
10, 47.02%, 107.74%, 0.77%
11, 46.55%, 108.31%, 0.76%
12, 46.31%, 108.83%, 0.74%
13, 46.62%, 109.21%, 0.71%
14, 45.40%, 109.86%, 0.70%
15, 46.21%, 109.93%, 0.66%
16, 46.35%, 110.12%, 0.63%
17, 46.45%, 110.23%, 0.60%
18, 45.92%, 110.49%, 0.58%
19, 45.78%, 110.68%, 0.56%
20, 45.11%, 111.08%, 0.55%
21, 45.56%, 111.31%, 0.54%
22, 44.96%, 111.93%, 0.54%
23, 45.51%, 112.22%, 0.53%
24, 45.53%, 112.62%, 0.53%
25, 44.98%, 113.13%, 0.53%
26, 44.76%, 113.50%, 0.52%
27, 44.98%, 113.77%, 0.51%
28, 44.71%, 114.18%, 0.51%
29, 45.35%, 114.34%, 0.49%
Stock SH600396
1, 47.80%, 101.89%, 1.89%
2, 47.99%, 102.87%, 1.43%
3, 48.96%, 103.52%, 1.17%
4, 49.10%, 104.07%, 1.02%
5, 48.73%, 104.62%, 0.92%
6, 47.89%, 105.08%, 0.85%
7, 46.37%, 105.51%, 0.79%
8, 45.30%, 106.03%, 0.75%
9, 44.61%, 106.47%, 0.72%
10, 45.26%, 106.66%, 0.67%
11, 44.75%, 107.08%, 0.64%
12, 45.35%, 107.36%, 0.61%
13, 45.16%, 107.79%, 0.60%
14, 46.06%, 107.93%, 0.57%
15, 45.46%, 108.43%, 0.56%
16, 47.55%, 108.53%, 0.53%
17, 47.50%, 109.05%, 0.53%
18, 47.13%, 109.55%, 0.53%
19, 47.78%, 109.81%, 0.52%
20, 48.15%, 110.14%, 0.51%
21, 49.26%, 110.34%, 0.49%
22, 49.26%, 110.73%, 0.49%
23, 48.84%, 111.21%, 0.49%
24, 48.47%, 111.63%, 0.48%
25, 48.73%, 111.83%, 0.47%
26, 48.89%, 112.00%, 0.46%
27, 48.68%, 112.21%, 0.45%
28, 48.98%, 112.40%, 0.44%
29, 48.68%, 112.73%, 0.44%
Stock SH600397
1, 48.13%, 102.04%, 2.04%
2, 47.65%, 103.15%, 1.57%
3, 48.94%, 103.83%, 1.28%
4, 48.32%, 104.52%, 1.13%
5, 47.46%, 105.20%, 1.04%
6, 46.74%, 105.80%, 0.97%
7, 47.19%, 106.26%, 0.89%
8, 46.88%, 106.84%, 0.85%
9, 46.25%, 107.49%, 0.83%
10, 46.11%, 108.13%, 0.81%
11, 46.88%, 108.43%, 0.77%
12, 46.69%, 108.88%, 0.74%
13, 46.93%, 109.23%, 0.71%
14, 47.02%, 109.67%, 0.69%
15, 46.76%, 110.22%, 0.68%
16, 45.29%, 111.06%, 0.69%
17, 45.43%, 111.54%, 0.68%
18, 45.14%, 112.04%, 0.67%
19, 44.66%, 112.75%, 0.67%
20, 44.71%, 113.34%, 0.67%
21, 45.05%, 113.89%, 0.66%
22, 44.76%, 114.54%, 0.66%
23, 45.48%, 114.85%, 0.65%
24, 46.22%, 115.10%, 0.63%
25, 46.63%, 115.35%, 0.61%
26, 46.75%, 115.63%, 0.60%
27, 47.11%, 115.72%, 0.58%
28, 46.46%, 116.20%, 0.58%
29, 47.11%, 116.15%, 0.56%
Stock SH600398
1, 47.63%, 101.75%, 1.75%
2, 49.08%, 102.56%, 1.28%
3, 50.09%, 103.16%, 1.05%
4, 49.86%, 103.73%, 0.93%
5, 49.82%, 104.14%, 0.83%
6, 50.42%, 104.46%, 0.74%
7, 49.95%, 104.82%, 0.69%
8, 49.54%, 105.05%, 0.63%
9, 49.40%, 105.36%, 0.60%
10, 48.82%, 105.82%, 0.58%
11, 48.98%, 106.20%, 0.56%
12, 48.31%, 106.61%, 0.55%
13, 48.11%, 106.97%, 0.54%
14, 48.17%, 107.30%, 0.52%
15, 49.05%, 107.47%, 0.50%
16, 48.31%, 107.91%, 0.49%
17, 48.70%, 108.13%, 0.48%
18, 48.31%, 108.55%, 0.48%
19, 48.66%, 108.89%, 0.47%
20, 48.40%, 109.29%, 0.46%
21, 48.61%, 109.58%, 0.46%
22, 48.91%, 109.81%, 0.45%
23, 49.49%, 109.96%, 0.43%
24, 49.42%, 110.21%, 0.43%
25, 48.42%, 110.68%, 0.43%
26, 47.82%, 110.97%, 0.42%
27, 47.54%, 111.23%, 0.42%
28, 47.26%, 111.54%, 0.41%
29, 46.89%, 111.83%, 0.41%
Stock SH600399
1, 49.00%, 102.17%, 2.17%
2, 48.57%, 103.37%, 1.68%
3, 49.38%, 104.26%, 1.42%
4, 50.67%, 104.86%, 1.22%
5, 50.24%, 105.56%, 1.11%
6, 50.10%, 106.07%, 1.01%
7, 49.71%, 106.50%, 0.93%
8, 48.45%, 107.02%, 0.88%
9, 48.43%, 107.42%, 0.82%
10, 47.54%, 108.06%, 0.81%
11, 46.80%, 108.70%, 0.79%
12, 46.73%, 109.23%, 0.77%
13, 46.92%, 109.76%, 0.75%
14, 46.97%, 110.31%, 0.74%
15, 47.35%, 110.73%, 0.72%
16, 48.06%, 111.05%, 0.69%
17, 48.14%, 111.58%, 0.68%
18, 48.02%, 112.16%, 0.68%
19, 47.80%, 112.79%, 0.67%
20, 47.92%, 113.32%, 0.67%
21, 47.49%, 113.91%, 0.66%
22, 47.77%, 114.26%, 0.65%
23, 47.53%, 114.69%, 0.64%
24, 46.72%, 115.31%, 0.64%
25, 47.25%, 115.62%, 0.62%
26, 47.20%, 116.12%, 0.62%
27, 47.06%, 116.68%, 0.62%
28, 47.49%, 117.06%, 0.61%
29, 48.25%, 117.34%, 0.60%
Stock SH600400
1, 47.44%, 101.72%, 1.72%
2, 46.95%, 102.75%, 1.38%
3, 47.13%, 103.50%, 1.17%
4, 47.54%, 104.11%, 1.03%
5, 48.30%, 104.53%, 0.91%
6, 48.10%, 104.99%, 0.83%
7, 47.40%, 105.43%, 0.78%
8, 47.51%, 105.69%, 0.71%
9, 46.67%, 105.97%, 0.66%
10, 46.92%, 106.22%, 0.62%
11, 46.24%, 106.61%, 0.60%
12, 46.24%, 106.96%, 0.58%
13, 45.60%, 107.38%, 0.57%
14, 44.24%, 107.94%, 0.57%
15, 44.02%, 108.34%, 0.56%
16, 44.20%, 108.62%, 0.54%
17, 44.65%, 108.87%, 0.52%
18, 44.61%, 109.18%, 0.51%
19, 43.97%, 109.55%, 0.50%
20, 43.97%, 109.73%, 0.49%
21, 44.38%, 109.83%, 0.47%
22, 43.79%, 110.12%, 0.46%
23, 43.88%, 110.27%, 0.45%
24, 43.34%, 110.59%, 0.44%
25, 43.43%, 110.77%, 0.43%
26, 43.56%, 111.00%, 0.42%
27, 43.70%, 111.23%, 0.42%
28, 44.15%, 111.43%, 0.41%
29, 44.15%, 111.70%, 0.40%
Stock SH600401
1, 45.97%, 102.20%, 2.20%
2, 46.84%, 103.76%, 1.88%
3, 47.88%, 104.86%, 1.62%
4, 48.21%, 106.01%, 1.50%
5, 46.54%, 106.89%, 1.38%
6, 45.96%, 107.52%, 1.25%
7, 45.55%, 108.02%, 1.15%
8, 44.80%, 108.52%, 1.06%
9, 45.50%, 108.76%, 0.97%
10, 46.12%, 109.08%, 0.91%
11, 45.41%, 109.67%, 0.88%
12, 46.45%, 109.92%, 0.83%
13, 46.82%, 110.81%, 0.83%
14, 46.19%, 111.86%, 0.85%
15, 47.91%, 112.35%, 0.82%
16, 47.61%, 112.85%, 0.80%
17, 46.48%, 113.55%, 0.80%
18, 47.44%, 113.69%, 0.76%
19, 47.48%, 114.05%, 0.74%
20, 46.17%, 114.71%, 0.74%
21, 46.55%, 114.64%, 0.70%
22, 46.93%, 114.53%, 0.66%
23, 46.04%, 114.98%, 0.65%
24, 46.33%, 115.13%, 0.63%
25, 45.69%, 115.55%, 0.62%
26, 46.75%, 115.45%, 0.59%
27, 46.45%, 115.72%, 0.58%
28, 46.66%, 115.86%, 0.57%
29, 45.59%, 116.46%, 0.57%
Stock SH600403
1, 49.35%, 102.02%, 2.02%
2, 50.82%, 103.12%, 1.56%
3, 50.59%, 103.91%, 1.30%
4, 50.42%, 104.51%, 1.13%
5, 50.31%, 105.18%, 1.04%
6, 51.15%, 105.63%, 0.94%
7, 51.83%, 106.12%, 0.87%
8, 52.00%, 106.59%, 0.82%
9, 52.45%, 106.92%, 0.77%
10, 52.67%, 107.19%, 0.72%
11, 52.79%, 107.43%, 0.68%
12, 51.83%, 107.89%, 0.66%
13, 52.00%, 108.15%, 0.63%
14, 52.22%, 108.45%, 0.60%
15, 51.83%, 108.85%, 0.59%
16, 51.60%, 109.23%, 0.58%
17, 51.44%, 109.54%, 0.56%
18, 51.32%, 109.88%, 0.55%
19, 50.82%, 110.20%, 0.54%
20, 50.37%, 110.50%, 0.53%
21, 50.14%, 110.85%, 0.52%
22, 49.18%, 111.27%, 0.51%
23, 48.85%, 111.55%, 0.50%
24, 48.42%, 111.90%, 0.50%
25, 47.89%, 112.16%, 0.49%
26, 48.37%, 112.07%, 0.46%
27, 48.08%, 112.13%, 0.45%
28, 48.76%, 111.98%, 0.43%
29, 48.14%, 112.15%, 0.42%
Stock SH600405
1, 52.85%, 102.31%, 2.31%
2, 51.41%, 103.65%, 1.82%
3, 53.34%, 104.45%, 1.48%
4, 53.68%, 105.23%, 1.31%
5, 53.23%, 105.94%, 1.19%
6, 51.19%, 106.78%, 1.13%
7, 50.19%, 107.46%, 1.07%
8, 49.39%, 108.02%, 1.00%
9, 48.31%, 108.52%, 0.95%
10, 47.12%, 109.06%, 0.91%
11, 46.98%, 109.34%, 0.85%
12, 46.87%, 109.70%, 0.81%
13, 47.76%, 109.87%, 0.76%
14, 47.76%, 110.40%, 0.74%
15, 48.37%, 110.79%, 0.72%
16, 49.58%, 111.20%, 0.70%
17, 49.11%, 111.96%, 0.70%
18, 49.69%, 112.29%, 0.68%
19, 49.92%, 112.61%, 0.66%
20, 49.31%, 113.11%, 0.66%
21, 49.08%, 113.52%, 0.64%
22, 49.03%, 113.85%, 0.63%
23, 49.36%, 114.05%, 0.61%
24, 49.25%, 114.35%, 0.60%
25, 49.08%, 114.58%, 0.58%
26, 49.42%, 114.72%, 0.57%
27, 49.42%, 114.77%, 0.55%
28, 48.81%, 114.92%, 0.53%
29, 47.98%, 115.00%, 0.52%
Stock SH600406
1, 50.46%, 101.98%, 1.98%
2, 52.12%, 103.04%, 1.52%
3, 53.78%, 103.84%, 1.28%
4, 54.07%, 104.57%, 1.14%
5, 54.36%, 105.14%, 1.03%
6, 53.96%, 105.65%, 0.94%
7, 54.13%, 106.04%, 0.86%
8, 53.38%, 106.51%, 0.81%
9, 53.18%, 106.94%, 0.77%
10, 54.13%, 107.18%, 0.72%
11, 54.34%, 107.54%, 0.69%
12, 54.60%, 107.97%, 0.66%
13, 54.80%, 108.34%, 0.64%
14, 55.72%, 108.54%, 0.61%
15, 56.24%, 108.77%, 0.58%
16, 56.12%, 109.14%, 0.57%
17, 56.30%, 109.43%, 0.55%
18, 55.26%, 109.95%, 0.55%
19, 55.66%, 110.15%, 0.53%
20, 55.66%, 110.47%, 0.52%
21, 55.61%, 110.82%, 0.52%
22, 56.99%, 110.88%, 0.49%
23, 56.70%, 111.33%, 0.49%
24, 55.55%, 111.93%, 0.50%
25, 55.55%, 112.29%, 0.49%
26, 54.80%, 112.73%, 0.49%
27, 56.01%, 112.69%, 0.47%
28, 54.57%, 113.20%, 0.47%
29, 54.28%, 113.42%, 0.46%
Stock SH600408
1, 47.15%, 102.11%, 2.11%
2, 46.84%, 103.19%, 1.59%
3, 47.46%, 103.97%, 1.32%
4, 45.95%, 104.79%, 1.20%
5, 47.04%, 105.33%, 1.07%
6, 46.16%, 106.01%, 1.00%
7, 46.06%, 106.40%, 0.91%
8, 45.02%, 106.98%, 0.87%
9, 44.45%, 107.52%, 0.84%
10, 43.93%, 108.02%, 0.80%
11, 43.98%, 108.38%, 0.76%
